,지점,지점명,관리관서
0,90,속초,강원지방기상청
1,93,북춘천,춘천기상대
2,95,철원,강원지방기상청
3,98,동두천,수도권기상청
4,99,파주,수도권기상청
5,100,대관령,강원지방기상청
6,101,춘천,춘천기상대
7,102,백령도,수도권기상청
8,104,북강릉,강원지방기상청
9,105,강릉,강원지방기상청
10,106,동해,강원지방기상청
11,108,서울,수도권기상청
12,112,인천,수도권기상청
13,114,원주,강원지방기상청
14,115,울릉도,대구지방기상청
15,119,수원,수도권기상청
16,121,영월,강원지방기상청
17,127,충주,청주기상지청
18,129,서산,홍성기상대
19,130,울진,안동기상대
20,131,청주,청주기상지청
21,133,대전,대전지방기상청
22,135,추풍령,청주기상지청
23,136,안동,안동기상대
24,137,상주,대구지방기상청
25,138,포항,대구지방기상청
26,140,군산,전주기상지청
27,143,대구,대구지방기상청
28,146,전주,전주기상지청
29,152,울산,울산기상대
30,155,창원,창원기상대
31,156,광주,광주지방기상청
32,159,부산,부산지방기상청
33,162,통영,부산지방기상청
34,165,목포,목포기상대
35,168,여수,광주지방기상청
36,169,흑산도,광주지방기상청
37,170,완도,목포기상대
38,172,고창,전주기상지청
39,174,순천,광주지방기상청
40,177,홍성,홍성기상대
41,184,제주,제주지방기상청
42,185,고산,제주지방기상청
43,188,성산,제주지방기상청
44,189,서귀포,제주지방기상청
45,192,진주,창원기상대
46,201,강화,인천기상대
47,202,양평,수도권기상청
48,203,이천,수도권기상청
49,211,인제,강원지방기상청
50,212,홍천,춘천기상대
51,216,태백,강원지방기상청
52,217,정선,강원지방기상청
53,221,제천,청주기상지청
54,226,보은,청주기상지청
55,232,천안,대전지방기상청
56,235,보령,대전지방기상청
57,236,부여,대전지방기상청
58,238,금산,대전지방기상청
59,243,부안,전주기상지청
60,244,임실,전주기상지청
61,245,정읍,전주기상지청
62,247,남원,전주기상지청
63,248,장수,전주기상지청
64,251,고창,전주기상지청
65,252,영광,광주지방기상청
66,253,김해,부산지방기상청
67,254,순창,전주기상지청
68,255,북창원,창원기상대
69,257,양산,울산기상대
70,258,보성,광주지방기상청
71,259,강진,목포기상대
72,260,장흥,목포기상대
73,261,해남,목포기상대
74,262,고흥,광주지방기상청
75,263,의령,창원기상대
76,264,함양,창원기상대
77,266,광양,광주지방기상청
78,268,진도,목포기상대
79,271,봉화,대구지방기상청
80,272,영주,안동기상대
81,273,문경,안동기상대
82,276,청송,대구지방기상청
83,277,영덕,대구지방기상청
84,278,의성,대구지방기상청
85,279,구미,대구지방기상청
86,281,영천,대구지방기상청
87,283,경주,대구지방기상청
88,284,거창,울산기상대
89,285,합천,울산기상대
90,288,밀양,울산기상대
91,289,산청,창원기상대
92,294,거제,부산지방기상청
93,295,남해,부산지방기상청
